"Company","Model","Buyer Gender","Buyer Age","Country","Color","New Car","Sale Price","Discount","Resell Price","Top Speed"
"Suzuki","Vitara","Female","51","India","Yellow","","54806.14","0.2467","33858.32","200.9"
"Honda","S2000","Male","30","India","Crimson","","51826.3","0.3147","2989.28","158.5"
"BMW","Z4","Female","54","India","Khaki","","82929.14","0.5414","35049.16","149.5"
"Toyota","Tacoma","Male","68","India","Puce","","56928.66","0.085","8236.15","153.3"
"Ford","Festiva","Male","70","India","Yellow","","77201.26","0.1642","32765.76","122"
"Buick","Skylark","Female","70","India","Crimson","","50882.23","0.6913","38576.59","182.7"
"Infiniti","QX","Male","66","India","Fuscia","1","69680.54","0.1657","27962.25","231.8"
"Ram","C/V","Male","37","India","Aquamarine","1","56393.91","0.1006","29157.95","144.1"
"GMC","Safari","Male","43","India","Mauv","1","13797.81","0.2126","31062.38","223.3"
"Nissan","Altima","Female","73","India","Puce","1","15176.04","0.1922","45892.79","170.4"
"Toyota","Previa","Female","67","India","Violet","1","82844.12","0.1651","4740.87","135.4"
"Scion","xB","Female","29","India","Green","1","95681.78","0.5507","16358.27","136.4"
"Porsche","928","Female","37","India","Fuscia","","90954.5","0.3937","40650.31","213.9"
"Lexus","HS","Male","43","India","Turquoise","","46666.83","0.6937","33634.37","134.1"
"GMC","Yukon","Male","41","India","Teal","1","11280","0.2396","9279.51","248.7"
"Mitsubishi","Mirage","Male","21","India","Indigo","","23110.07","0.6385","41916.47","245.6"
"Dodge","Viper","Male","57","India","Teal","1","77346.39","0.6078","32280.44","159.8"
"Mazda","B2500","Female","54","India","Crimson","1","15500.07","0.6852","20175.47","185.6"
"Land Rover","LR3","Male","37","India","Aquamarine","","84151.25","0.1375","49656.3","120.6"
"Isuzu","Space","Female","66","India","Green","","97058.87","0.1654","21985.35","136.6"
"Acura","TL","Female","43","India","Red","1","74986.42","0.0637","31655.99","125.2"
"Pontiac","Bonneville","Female","56","India","Pink","1","63314.15","0.4378","36647.24","175.4"
"Dodge","Dakota Club","Male","53","India","Yellow","","77520.81","0.6809","23681.6","143.7"
"Audi","Cabriolet","Female","55","India","Puce","1","78231.21","0.2408","5938.36","155"
"Pontiac","Sunfire","Male","32","India","Maroon","1","62931.23","0.0491","27403.55","126.2"
"Citroën","2CV","Male","47","India","Green","","44071.48","0.6185","43216.49","245.1"
"Ford","Tempo","Female","72","India","Pink","","65774.81","0.0937","33514.28","247.5"
"Buick","LeSabre","Male","47","India","Puce","1","16281.78","0.2986","43289.16","248.2"
